X,Y,Z,VX,VY,VZ,R,P,Ya,VR,VP,VYa
8.890045,-2.111915,0.5400691,-1.9896774291992188,-15.639744758605957,-0.5080167651176453,4.668403134965627,-35.46926115233543,-48.97372334908246,-196.1611888116903,-118.82411797179483,39.16327334228844
8.879921,-2.189836,0.5376373,-2.024827241897583,-15.58420181274414,-0.4863625764846802,3.59198068969725,-36.0962725181426,-48.77653237264961,-192.2220274720472,-122.77334701027453,40.94318648904792
8.869623,-2.2674708,0.5353135,-2.059603691101074,-15.526941299438477,-0.46476060152053833,2.518327032363667,-36.74072818708998,-48.553393507559875,-188.2335931477316,-126.79576835590011,42.73123780620346
8.859154,-2.344811,0.53309673,-2.0939838886260986,-15.468023300170898,-0.443355917930603,1.4462399429492498,-37.40253253652919,-48.30289631974966,-184.2142044060975,-130.89960555643222,44.528438161752234
8.848514,-2.4218485,0.5309849,-2.127910614013672,-15.407557487487793,-0.42236384749412537,0.3743335867435734,-38.0814909060689,-48.023555243074476,-180.18062253136816,-135.07379370541548,46.33208280078291
8.837707,-2.4985762,0.52897596,-2.1614396572113037,-15.345519065856934,-0.40178558230400085,-0.6988921165498261,-38.77741546550691,-47.71376176798479,-176.13160442911456,-139.32303197299885,48.14301866675259
8.826734,-2.5749857,0.5270678,-2.194622278213501,-15.281889915466309,-0.38163402676582336,-1.7750691552557587,-39.49011155445189,-47.371794686809764,-172.06672662760818,-143.65200586895293,49.96224638237465
8.815596,-2.651069,0.5252581,-2.2275025844573975,-15.216660499572754,-0.36193791031837463,-2.8559808490778322,-40.21936402194498,-46.99578935790598,-167.98641259857757,-148.0647725256447,51.79084853263256
8.804296,-2.726818,0.5235445,-2.2601301670074463,-15.149815559387207,-0.34271901845932007,-3.9436223069447784,-40.96497820759484,-46.583700139617015,-163.89749253119277,-152.5722739061246,53.63204896681456
8.792833,-2.8022254,0.5219237,-2.292477607727051,-15.081461906433105,-0.32415443658828735,-5.040203201774802,-41.72666382836174,-46.13334137140847,-159.81051223753224,-157.1653438965264,55.48230281674141
8.781209,-2.8772805,0.5203953,-2.3248798847198486,-15.011009216308594,-0.3056856393814087,-6.148285708280303,-42.504325261597295,-45.64239761915171,-155.76343390900294,-161.8922036323904,57.328632722990086
8.769422,-2.951973,0.518958,-2.3573250770568848,-14.93852424621582,-0.2874704897403717,-7.270725272421172,-43.29779175257226,-45.10837927889426,-151.77823709435393,-166.7469518302737,59.160810477278496
8.75747,-3.0262878,0.51761514,-2.390352964401245,-14.862936019897461,-0.2685629427433014,-8.411043283601373,-44.107275037150906,-44.528806991967414,-147.97100768871877,-171.81484291139645,60.93036222706706
8.7450695,-3.0996456,0.51691836,-2.480161190032959,-14.671562194824219,-0.13935349881649017,-9.55787388015518,-44.90435469819681,-43.91403532515291,-143.17218507975952,-171.1530522223356,61.71816990631467
8.732185,-3.1719596,0.5169226,-2.5768344402313232,-14.462815284729004,0.0008445247658528388,-10.710604906378231,-45.68329337680716,-43.2638901086269,-138.1258090945223,-169.45126960949187,62.63433050044516
8.718836,-3.2432418,0.51758265,-2.669902801513672,-14.256455421447754,0.13201500475406647,-11.867272682884149,-46.44431646922457,-42.57836451220023,-132.59664801799192,-167.88089983627924,63.49716097753619
8.705039,-3.3135066,0.5188539,-2.7594263553619385,-14.052957534790039,0.2542513310909271,-13.025712893479685,-47.18804210756891,-41.857649781169656,-126.57941528375079,-166.50846894521354,64.26663642905149
8.690811,-3.3827705,0.5206923,-2.8454813957214355,-13.852784156799316,0.3676750361919403,-14.183635717245593,-47.91542310322942,-41.10206693442617,-120.07230772185798,-165.38282644923876,64.91271085283216
8.676168,-3.4510484,0.5230579,-2.928539276123047,-13.655567169189453,0.47311651706695557,-15.339049300265168,-48.62739860721697,-40.3118789342528,-113.13234375150478,-164.49551657416242,65.43869689062568
8.661122,-3.5183518,0.52591544,-3.0091440677642822,-13.460683822631836,0.5715161561965942,-16.490335741478763,-49.32498631771788,-39.48732483727053,-105.83753779339108,-163.84845177295207,65.83852933444905
